Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Pakistan,7.189384028,2.529328173,3.765119164,4.08537368,5.078057259,10.5783618,9.739993139,9.496210561,19.87385996,30.76812807
"Palau, Rep. of",4.191745486,0.949040644,-1.042305334,1.417988197,2.109704641,0.267379679,0.218181818,2.612481858,12.35266384,12.81997482
Panama,2.626526999,0.137492058,0.739734025,0.875585919,0.761578359,-0.355083821,-1.550275408,1.630703373,2.859651288,1.486413553
Papua New Guinea,5.222117202,5.995957781,6.673728814,5.42204568,4.374489215,3.928672909,4.871673986,4.48359014,5.253239222,2.298699913
Paraguay,5.028827675,3.129002745,4.086822806,3.602477413,3.975610157,2.757097276,1.767515924,4.787983101,9.765566672,4.632022854
Peru,3.411945798,3.398091947,3.557176636,2.994900458,1.50915423,2.252121914,2.002412058,4.271663815,8.333706301,6.455613484
Philippines,3.597823439,0.674192537,1.253698801,2.853187726,5.309346616,2.392065344,2.393162393,3.927180221,5.821158112,5.978025155
"Poland, Rep. of",0.053821313,-0.874125874,-0.664767331,2.075935537,1.812951565,2.227478809,3.374469726,5.055027047,14.42945076,11.5289128
Portugal,-0.278153367,0.487938624,0.607397075,1.368614116,0.993715683,0.33817841,-0.01243833,1.265657191,7.832691242,4.311281919
Qatar,3.349720857,1.814077239,2.676591701,0.394878914,0.255815383,-0.666641125,-2.54031503,2.304465657,4.995275537,3.027648992
Romania,1.068309877,-0.594156437,-1.544796668,1.339021211,4.625484431,3.827854326,2.631073112,5.052328761,13.79548874,10.39718748
Russian Federation,7.823411839,15.53440505,7.04244763,3.683329444,2.878297236,4.470366608,3.381659372,6.69445892,,
Rwanda,2.354490528,2.528502842,7.17434302,8.279536723,-0.31121016,3.34787655,9.850399023,-0.391346748,17.68920956,19.78954675
Samoa,-0.406816088,0.724470135,1.304718693,1.749896775,4.197458887,0.98232657,-1.568912477,3.133204732,10.96188223,
"San Marino, Rep. of",1.112963034,0.145686073,0.57394802,1.045976835,,,,,,
Saudi Arabia,2.236290315,1.206073222,2.068840361,-0.83819458,2.45814158,-2.093333333,3.44545826,3.063289889,2.474073719,2.327085184
Senegal,-1.090255074,0.135211934,0.837284943,1.318153148,0.460985642,1.760111512,2.543146857,2.180322781,9.696818991,5.939477988
"Serbia, Rep. of",2.082447939,1.39235822,1.122313974,3.131062486,1.959840763,1.849229845,1.575532901,4.085102853,11.98151173,12.37190436
Seychelles,1.385834546,4.041944107,-1.015481917,2.856795756,3.702918391,1.807094008,1.20266464,9.76909937,2.626036329,-1.035300884
Sierra Leone,4.639311714,6.689435625,10.88606094,18.2215094,16.02954477,14.80499909,13.44687111,11.87395888,27.20828838,47.64287333
Singapore,1.02514803,-0.522618167,-0.53226874,0.57626031,0.438620118,0.565260569,-0.181916667,2.30485959,6.12106004,4.821467295
